"eng__001","eng__002","eng__003","afr__001","afr__002","afr__003","afr__004","afr__005","afr__006","xho__001","xho__002","xho__003","xho__004","ssw__001","ssw__002","ssw__003","ssw__004","nde__001","nde__002","nde__003","tsn__001","tsn__002","tsn__003","tsn__004","nso__001","Syonym__-","nso__002","nso__003","nso__004","sot__001","sot__002","sot__003","ven__001","ven__002","ven__003","ven__004","ven__005","ven__006","tso__001","tso__002","tso__003","tso__004"
"electrolyte {nutrition}","","","elektroliet","","","","","","iityuwa zomzimba","ielektrolayithi","","","luswayi lwekuvusela umtimba","i-ilekhrolayithi","","","amatswayi womzimba","i-ilekthrolayithi","","eleketerolaete","","","","eleketherolaete","","elekthrolaete","","","elektrolaete","","","muvango wa eḽekitroḽaithi","","","","","","xilawulandzingano xa swihalakimirini","","",""
"electron microscope","","","elektronmikroskoop","","","","","","isibonakhulu se-elekthroni","imayikhroskowupu ye-elekthroni","","","sikhulisikubona seilekthroni","","","","imayikhroskowuphi yeelekthroni","","","maekerosekoupu wa motlakase","","","","maekherosekoupo eleketherone","","","","","maekrosekoupu ya elektrone","","","maikhirosikoupu wa elektroni","","","","","","xivonatsongo xa xilekitironi","","",""
"elixir","","","elikser","","","","","","isincasanisiyeza","","","","sinandzisimutsi","i-eleksa","","","isinandisisihlahla","i-elekse","","senwatatso","","","","seelanatefišahlare","","seelatsefišahlare","","","setswekerisi","elikse","","eḽikisa","","","","","","xinyanganyisi","xitsokomberisi","elekise",""
"elution {diagnostic process}","","","eluering","elusie","","","","","ukuhluza","","","","kuhlunga ngekuncibilikisa","kuhluta ngekubilisa","","","ukutlhodlha","","","tlhotlha","","","","go menya","","tlhotlo","","","ho sesefa","","","vhuṱuḓi","","","","","","ntsavulo","","",""
"emaciation","","","uittering","vermaering","","","","","ukunqiniswa kukugula","","","","kondza lokwendlulele","kuzaca","","","ukonda","ubukgheredlha","ukurhutjheka","kotlhego","phephile","momonego","phepho","go ota","","","","","ho ota","","","muond","","","","","","ku ondza","ku beka","ku hela",""
"embrocation","liniment","","smeermiddel","","","","","","umrabho","","","","imbulukhesheni","","","","umhlikihlelo","i-embrokheyitjhini","","setshaso","","","","setlolo","","","","","sesidili","","","tshiḓolo","","","","","","xichukuchelanhlongeni","","",""
"emergency treatment","","","noodbehandeling","","","","","","unyango olungxamisekileyo","","","","kwelapha lokuphutfumako","","","","isizo elirhabako","","","kalafo ka potlako","","","","kalafotšhoganetšo","","","","","kalafo ya tshohanyetso","","","dzilafho ḽa shishi","","","","","","ntshungulo wa xilamulelamhangu","ntshungula wa xihatla","",""
"emetic {medicine that causes vomiting}","","","emetikum","braakmiddel","","","","","iyeza lokugabha","iyeza lokuhlanzisa","","","sihlantisi","sigabhisi","siphalazisi","","isigabho","isiphalazisi","isihlanzisi","setlhatsisi","","","","sehlatšiši","","","","","moriana o hlatsisang","","","tshiṱanzisi","","","","","","xihlantisi","xihazisi","",""
"encephalitis {inflammation of the brain}","","","breinvliesontsteking","enkefalitis","ensefalitis","","","","ukukrala kobuchopho","iensefalayithisi","","","kuvuvuka kwebucopho","i-ensefalayithisi","","","ukufutha kobuqopho","i-ensefalayithisi","","thurugoboko","","","","tšhatšhamelothurugobjoko","","ensifilaethisi","","","borurusi ba boko","ensefelaethisi","","nzwimbavhuluvhi","","","","","","mpfimbabyongo","ndzhumbelabyongo","",""
"endemic disease","","","endemiese siekte","","","","","","isifo sengingqi","","","","sifo sakuleyondzawo","","","","isifo sendawo","ubulwele balapho","","bolwetse jwa tikologo","","","","bolwetšifelo","","","","","lefu la tikoloho e itseng","","","vhulwadzehapo","","","","","","vuvabyi bya ndhawu","","",""
"endocrine system","","","endokriene stelsel","","","","","","ulungelelwanolawulo lwamadlala","","","","kusebentisana kwemadlala","","","","isebenziswano lamadlala","","","matlhamaganyane a dire-homoune","","","","mokgwapeakanyothaka","","","","","taolo ya dihomoune","","","sisiṱeme ya thanga","","","","","","sisiteme ya nhlarimbya","","",""
"endometriosis","","","endometriose","","","","","","isihluma esibelekweni","","","","sifo sekusabalala kwemantfweshu esibeletfweni","","","","ukuvela kweemila esibelethweni","","","bolwetse jwa lothapopelo","","","","bolwetšikalopopelo","","endomethereosisi","","","endometreosisi","","","vhulwadze ha u balangana ha tsikila dza mbumbelo","phaḓalalo ya tsikila dza mbumbelo","","","","","vuvabyi bya khumbi ra xivelekelo","","",""
"endometrium","uterus lining","","endometrium","baarmoederwand","","","","","inwebu yesibeleko","","","","lutfwatfwasi lwesibeletfo","","","","ithwethwesi lesibeletho","","","lothapopelo","boalopopelo","","","boalopopelo","","endomethiriamo","","","lera le ka hara popelo","endometriamo","","tsikila ya mbumbelo","endometriamu","","","","","khumbi ra xivelekelo","","",""
"endotoxin","","","endotoksien","endotoksine","","","","","ityhefu ekwintsholongwane","","","","butsi lobuhlasela inhlayiya","butsi lobhlasela emaseli emtimbeni","","","itjhefu yomulwana","i-endothokzini","","botlhole jwa mogare","","","","mphologarepaketheria","","","","","tjhefu e ka hara baktheria","","","mulimombangwa nga bakitheria","endotokizini","bakitheria mbangwamulimo","","","","vuxungu bya le ndzeni ka sele","","",""
"enema","clyster","","enema","dermspoeling","klisma","","","","iyeza lokucima","","","","kucatseka","kupeyita","","","ukucatha","ukupeyida","","peita","","","","peita","","go peita","","","ho peita","","","tshipeiṱi","","","","","","ku peyinta","","",""
"enteric coating","","","enteriese bedekking","","","","","","ukwaleka ipilisi","","","","kugcotjiselwe kuncibilika kancane kancane","","","","ukwelekela amathunjana","","","thetefatsopilisi ya tsorwane","","","","khoututitelatologo","","","","","khoutu e diehisang ho qhibidiha ha pidisi","","","nḓodzaluvhemba phirelamalani","","","","","","pilisintoto ro tswongiwa emarhumbyini","","",""
"enteritis","","","enteritis","dermontsteking","ingewandsontsteking","","","","ukukrala kwamathumbu","","","","kudvumba kwelitfunjana","","","","ubuhlungu bamathunjana","","","thurugomala","","","","tšhatšhamelothurugolelana","","leatla","","","borurusi ba mala","","","nzwimbalula","","","","","","mpfimbamarhumbu","ndzhumbelamarhumbu","",""
"ephedrine","","","efedrien","efedrine","","","","","iefedrini","","","","i-ifedrini","","","","i-efedrini","","","efederaene","","","","ifedirine","","ifedrine","","","efetrine","","","ephedrine","","","","","","efedirini","","",""
"epidural anaesthetic <Great Britain>","epidural anesthetic","","epidurale narkosemiddel","","","","","","isidambisizivo zomqolo","","","","sidzambisimiva semgogodla","","","","isidambisi semizwa yangenzasi kwedini","","","kidibatsokokotlo","","","","seidibatšihlabamokokotlo","","seidibatši sa ephitšurale","","","sethethefatsi sa mokolla","","","tshidzidzivhadzivhupotiwa","u ṱhavhiwa kha muṱoḓo","","","","","xititivatalongo","xitlanyatalongo","",""
"epilepsy","","","epilepsie","vallende siekte","","","","","isithuthwane","ukuxhuzula","isifo sokuwa","","sitfutfwane","sifo sekuwa","","","isithunthwana","","","mototwane","seebana","","","dikotwane","","bolwetši bja go wa","","","sethwathwa","","","tshifakhole","tshiririvha","tshiivha","","","","switshetshela","","",""
"erythema dose {radiation}","","","eriteemdosis","","","","","","umlinganiselo wotshisosikhumba","","","","silinganisokuklabhela","","","","isilinganiselo sokutjhiswa kwesikhumba","","","mothamo wa phisotlalo","tekanyetsamolemo sa phisotlalo","","","tekanyohlarehwibitšatlalo","","","","","tekanyo ya redieishene e tlerefatsang","","","phimo ya mufhiso wa u tswukulusa lukanda","","","","","","mpimamurhi wa erithema","","",""
"erythrocyte","red blood cell","","rooibloedsel","eritrosiet","","","","","iseli yegazi ebomvu","ierithrosayithi","","","iseli yengati lebovu","i-erythrocyte","","","iseli leengazi elibomvu","","","sele ya madi a mahibidu","","","","selekhubedu","","","","","sele ya madi e kgubedu","","","seletswuku ya malofha","tsikitswuku ya malofha","","","","","sele ya ngati yo tshwuka","","",""
"erythromycin {antibiotic}","","","eritromisien","","","","","","ierithromayisini","","","","sibulalimagciwane","i-erithromisini","","","isibulalimulwana","i-erithromayisini","","eritheromaesine","","","","eritheromaesini","","","","","erithromaesini","","","eristhromaisini","eristhromaisini","","","","","erayithiromayisini","","",""
"escalating dosage","","","stygende dosis","","","","","","umlinganiselo owongezwayo","","","","silinganisomutsi lesengetwako","","","","isilinganiselo esingezelelwako","","","koketso ya mothamo","koketso ya tekanyetsamolemo","","","tekanyohlarekoketšego","","","","","tekanyetso e matlafatswang","","","nyengedzo ya phima dzilafho","","","","","","mpimamurhiengeteleko","","",""
"essential medicine","","","essensiële medisyne","noodsaaklike medisyne","","","","","amayeza angundoqo","","","","umutsi losidzingo","umutsi losisekelo","","","isihlahla ekuphilwa ngaso","isihlahla esisisekelo","","molemo wa botlhokwa","molemo wa motheo","","","sehlarenyakegokgolo","","","","","moriana o hlokahalang","","","mushonga wa ndeme","","","","","","murhixidingo","","",""
"ethanoic acid","acetic acid","","asynsuur","etanoësuur","","","","","iviniga yaselebhu","iathanoyikhi asidi","","","i-esidi lenebuviniga","","","","iviniga","","","aseine","","","","esiti ya ethanoiki","","binika","","","esiti ya ethanolo","","","viniga","ethanoikiesidi","ethanoikidungi","","","","ethanoyikiasidi","","",""
"ethanol","ethyl alcohol","","etanol","etielalkohol","","","","","i-ithanoli","","","","i-alkhoholi","","","","i-ethanoli","","","ithanolo","","","","ethanolo","","","","","ethanolo","","","ethanoḽo","","","","","","ithanolo","","",""
"ethical drug","","","etiese medisyne","etiese geneesmiddel","","","","","ichiza elifumaneka ngokusemthethweni","","","","umutsi lomiselwe","likhambi lelimiselwe","","","isihlahla esitholakala ngomlayelo","","","molemo o o laoletsweng","","","","sehlaretumelelwa","","","","","moriana o molaong","","","tshidzidzivhadzi tsho themendelwaho","tshidzidzivhadzithemendelwa","","","","","xidzidziharisindzawulelo","","",""
"eutectic <adj.> {a solution}","","","eutekties","","","","","","-nyibilika lula","","","","-ncibilika kakula","","","","-ncibilikako","","","-pelelotlase","- yuthektik","","","-tološwago nolo","","","","","-yuthekthiki","","","tshiluḓitshayatshanduko","tshidzidzivhadzithemendelwa","","","","","-tiyan'oka hi ku olova","","",""
"excipient","","","bindmiddel","bindstof","","","","","isongezelelo kulwenziwoyeza","","","","sitsakophilisi","","","","isithako sepilisi","","","sekopanyaditeng tsa pilisi","","","","setlaleletšaphilisi","","","","","setswaki","","","zwivhumbamishonga","","","","","","xiheleketapilisi","","",""
"excoriation","","","skawing","afskawing","","","","","umenzakalo esikhumbeni","","","","kuhwebheka","kuhhwebheka","","","ukuphunyuka","","","lengapo","","","","mongwapo","","go ngapega","","","mohwabadi","","","mbalealukanda","","","","","","ku haleka","ku khwayeka","",""
"excretion","","","uitskeiding","ekskresie","","","","","okukhutshwa ngumzimba","","","","kukhipha kungcola emtimbeni","","","","ukukhupha okungasafunekiko emzimbeni","","","go nya (sk. metsi)","","","","ntšhotšhilammeleng","","","","","ho ntsha tshila mmeleng","ho ntsha manya a mmele","","u bvisa tshika","vhubvisatshika","","","","","ku humesa thyaka","","",""
"excretory system","","","uitskeidingstelsel","ekskresiestelsel","","","","","inkqubo yokukhupha komzimba","","","","luhlelo lwekukhipha kungcola emtimbeni","","","","irherho lokukhupha okungafunekiko emzimbeni","","","matlhamaganyane a ntsholeswe","","","","mokgwapeakanyontšhotšhilammeleng","","","","","taolo ya ho ntsha tshila mmeleng","taolo ya ho ntsha manya a mmele","","sisiṱeme ya u bvisa tshika muvhilini","sisteme ya bvisatshika","","","","","sisiteme yo humesa thyaka","","",""
"exhaustion","","","uitputting","","","","","","ukudubeka komzimba","","","","kudzinwa","kukhatsala","","","ukudinwa khulu","","","molapo","letsapa","","","molapo","","tapo","","","mokgathala","","","khuleanungo","maneto","","","","","ntshimbitelo","","",""
"exotoxin","","","eksotoksien","eksotoksine","","","","","ityhefu ekhutshwa yintsholongwane","","","","butsi lobuhlasela lingaphandle lenhlayiya","","","","itjhefu esahlela ilingaphandle leseli","","","botlholelwantle","","","","mpholontlepaketheriya","","","","","tjhefu e kantle ho baktheria","","","mulimomviselwannḓa ha bakitheria","ekzothkizini","mulimomviselwannḓa ha sele","mulimomviselwannḓa ha tsiki","","","vuxungu bya le handle ka sele","","",""
"expectorant","","","ekspektorant","slymverdunner","","","","","isithambisisikhohlela","","","","umutsi lotsambisa sifuba","","","","isihlahla esikhupha isikhohlela","i-ekspekthorenti","","semenisi","","","","sentšhasehuba","","sentšhasegohlolwa","","","sethapisasekgohlela","","","mushongamvisatshilangwa","","","","","","murhi wo pfula xifuva","xihumesisaxikhohlola","",""
"extended-release medication","","","vrystellingsgereguleerde medisyne","vrystellingsgereguleerde medikasie","verlengdevrystellingsmedisyne","verlengdevrystellingsmedikasie","","","iyeza elihlalayo emzimbeni","","","","umutsi losebenta sikhatsi lesidze","","","","isihlahla esisebenza isikhathi eside","","","kalafi ya pakaleele","","","","tokollohlarekatološo","","","","","moriana o lekanyeditsweng nako e telele","","","mushongamushuma nga mutomemutome","","","","","","murhi wo tirha nkarhi wo leha","","",""
"family history {of e.g. illnesses}","","","familiegeskiedenis","","","","","","imbali yempilo yosapho","","","","umlandvomphilo wemndeni","","","","umlando womndeni","","","hisetori ya tshika","","","","historilapa","","","","","nalane ya bokulo lapeng","","","ḓivhazwakale ya muṱa","","","","","","matimu ya ndyangu","","",""
"fibrosis","","","fibrose","bindweefselverdikking","","","","","ifayibhrosisi","","","","sifo semitsambo","","","","ifayibhrosisi","","","tlhalefatso","kgobatiso","","","faeporosisi","","","","","faebrosisi","","","faiburosisi","faibrosisi","","","","","fayiburosisi","","",""
"finished product {medicinal product}","","","eindproduk","voltooide produk","","","","","imveliso egqityiweyo","iyeza eligqityiweyo ukwenziwa","","","umkhicito","","","","umkhiqizo opheleleko","ipahla epheleleko","","kunokonosetswa","","","","sehlarephethagetše","","","","","sehlahiswa se phethetsweng","","","tshibveledzwakhunyeledzwa","","","","","","ximakiwa lexi nga hela","","",""
"fixed oil","","","nievlugtige olie","","","","","","ioyile engangxengwanga","ioyile engaphithikezwanga","","","i-oyili lengahwamuki","emafutsa langahwamuki","","","i-oli yokudla engatjhugulukiko","amafutha wokudla angatjhugulukiko","","oli e e tlhomameng","","","","olisemoyafale","","","","","oli ya tlhaho e sa moyafaleng","","","mapfuramvelo","oiḽimvelo","","","","","mafurha ya ntumbuluko","","",""
"food poisoning","","","voedselvergiftiging","","","","","","ukuguliswa kukutya okutyhefekileyo","","","","kugula lokubangwa kudla lokunebutsi","","","","ukuguliswa kukudla okunetjhefu","","","sejeso","bolwetse jwa botlholedijong","","","bolwetšitšhilafalodijong","","","","","ho kudiswa ke dijo","","","vhulwadze ha tshikafhadzo","vhulimodzwa nga zwiḽiwa","","","","","nchefuhato hi swakudya","","",""
"forceps","tongs","","tang","pinset","forceps","knyper","klem","klamp","isibambo kwigumbi lotyando","","","","ludlawu","","","","idlawu","","","motang","","","","sepato","","","","","tong","tang","","tshifaro tsha fosepusi","","","","","","xitsavulo","","",""
"formaldehyde","","","formaldehied","","","","","","ifomalidihayidi","","","","ifomalidihayidi","","","","ifomaldihayidi","","","fomaldehaede","","","","fomaletehaete","","lenaneohlare","","","fomaldehaete","","","fomaladihaidi","","","","","","fomalidihayidi","","",""
"formulary","","","formularium","","","","","","uluhlu lwamayeza agunyazisiweyo","","","","luhlu lwemitsi legunyatiwe","","","","irhelo leenhlahla ezenyuliweko","ifomulari","","lenane la melemo","","","","fomulari","","","","","fomulari","","","mutevhe wa mishongatiwa","fomuḽari","","","","","nxaxamelo wa mirhi","nongoloko wa mirhi","fomulari",""
