"eng__001","eng__002","eng__003","eng__004","eng__005","afr__001","afr__002","afr__003","afr__004","afr__005","zul__001","zul__002","zul__003","xho__001","xho__002","xho__003","ssw__001","ssw__002","ssw__003","ssw__004","nde__001","nde__002","nde__003","nde__004","tsn__001","tsn__002","tsn__003","tsn__004","nso__001","nso__002","nso__003","sot__001","sot__002","ven__001","ven__002","ven__003","ven__004","tso__001","tso__002","tso__003","tso__004"
"executive authority","","","","","uitvoerende gesag","","","","","isiphathimandla esilawulayo","","","ugunyaziwe olawulayo","","","siphatsimandla","libandla leliphetse","","","isiphathimandla","","","","bothatikhuduthamaga","mothatikhuduthamaga","","","bolaodiphethiši","","","bolaodi ba phethahatso","","maanḓalanga","","","","matimba ya huvonkulu","","",""
"executive council","","","","","uitvoerende raad","","","","","umkhandlu olawulayo","","","ibhunga lolawulo","","","umkhandlu lophetse","","","","umkhandlu ophetheko","isigungu esiphetheko","","","lekgotlakhuduthamaga","","","","lekgotlaphethiši","khuduthamaga","","khansele ya phethahatso","","khorotshitumbe","","","","huvonkulu","khanselenkulu","",""
"executive mayor","","","","","uitvoerende burgemeester","","","","","usodolobha omkhulu","","","usodolophu olawulayo","","","sodolobha lomkhulu","","","","umeya omkhulu","usodorobha omkhulu","","","mmeiyamogolo","mmeiyaphetisi","ratoropomogolo","","meyaraphethiši","","","majoro wa phethahatso","","meyara muhulwane","","","","meyarankulu","","",""
"exit poll","","","","","stempeiling","","","","","ukuqagela umphumela","","","uqikelelo-ziphumo zovoto","","","indlela yekucombelela umphumela","","","","ifuniselomiphumela","","","","phopholetsodipholotlhopho","kabakanyetsodipholotlhopo","","","nyakišišo ya morago ga dikgetho","","","kgakanyo ya sephetho sa dikgetho","","khumbulelo ya mvelelo","","","","ndlela yo vhumbha mbuyelo","","",""
"federalism","","","","","federalisme","","","","","uzibuse wezifundazwe","","","umaziphathe wamaphondo","","","umbuso wetifundzafundza letitimele","","","","umazibuse weemfunda","","","","sefeterale","","","","mokgwapušo wa sefeterale","","","bofederale","","vhufeḓeraḽa","","","","xifederali","","",""
"fieldworker","","","","","veldwerker","","","","","osebenzela emphakathini","","","umsebenzi ophumayo","igosa elijikelezayo","umsebenzi ojikelezayo","losebentela ngaphandle","","","","isisebenzi esiphumako","","","","modirimmatlisisi","","","","mošomi wa ka ntle","","","mosebeletsi wa kantle","","mushumelannḓa","","","","mutirhelahandle","","",""
"first past the post {system}","FPTP","","","","eerste-oor-diewenstreep","","","","","ukuphumelela ngamavoti amaningi","i-FPTP","","ukuphumelela ngeevoti ezininzi","","","lophumelele ngulonemavoti lamanyenti","","","","irherho lefikelelo","","","","FPTP","mofenyi","","","mothopasefoka ka bontši bja dibouto","","","mohlodi ka palo","","muwini nga voutu nnzhisa","","","","muhumeleri hi tivhoti to tala","","",""
"fixed voting station","","","","","vaste stemlokaal","","","","","isikhungo sokuvota esinesakhiwo","","","isikhululo sokuvotela esingenakufuduswa","","","siteshi sekuvotela lesingesuki","","","","isitetjhi sokuvowudela esinzinzileko","","","","seteišhenetlhophotsepamo","","","","setiši sa dikgetho sa go se šute","","","setsi sa kgethelo se tsitsitseng","","tshiṱitshi tshi sa sudzuluwi","","","","xitichi xo hlawulela lexi nga sukiki","xitichi xo vhotela lexi nga sukiki","",""
"floating voter","undecided voter","","","","swerwende kieser","","","","","umvoti omanqika","","","umvoti ongekathathi sigqibo","","","umvoti losengakancumi","","","","umvowudi ongakaqunti","","","","motlhophi yo o etsaetsegang","","","","mokgethi wa go lokaloka","","","mokgethi ya lokalotsehang","","mukhethi a si na vhuimo","mukhethi murwelahoṱhe","","","muhlawuri loyi a nga si tekaka xiboho","muvhoti loyi a nga si tekaka xiboho","",""
"foreign voting station","","","","","buitelandse stemlokaal","","","","","isikhungo sokuvota esikwelinye izwe","","","isikhululo sokuvotela esikwelinye ilizwe","isitishi sokuvotela esikwelinye ilizwe","","siteshi sekuvotela lesikulelinye live","","","","isitetjhi sokuvowudela esikosozizwe","","","","seteišhenetlhophelo sa boditišhaba","","","","setiši sa go kgetha sa nageng e šele","","","setsi sa kgethelo se naheng e sele","","tshiṱitshi tsha khetho tsha mashangoḓavha","","","","xitichi xo hlawulela xa le tikweni rimbe","xitichi xo vhotela xa le tikweni rimbe","",""
"forfeiture","","","","","verbeuring","","","","","ukulahlekelwa","ukuphucwa","","ukulahlekelwa","","","kwemukwa","","","","ilahlekelo","","","","tatlhegelo","","","","tahlegelo","","","tahlehelo","","u ṱunḓululelwa","u lozwa","","","ndzahlekelo","ku tekeriwa","",""
"forum","","","","","forum","","","","","isigcawu","","","iqonga","","","umhlangano","","","","umhlangano","iforamu","","","foramo","","","","foramo","","","foramo","","foramu","","","","foramu","","",""
"franchise {election}","","","","","stemreg","","","","","ilungelo lokuvota","","","ilungelo lokuvota","","","lilungelo lekukhetsa","lilungelo lekuvota","","","ilungelo lokuvowuda","","","","tshwanelotlhopho","","","","maloka a go bouta","","","tokelo ya ho kgetha","","pfanelo ya u vouta","pfanelo ya u khetha","","","mfanelo yo hlawula","mfanelo yo vhota","",""
"free and fair election","","","","","vrye en regverdige verkiesing","vry en regverdige verkiesing","","","","ukhetho olukhululekile nolunobulungiswa","","","unyulo olukhululekileyo","","","lukhetfo lolukhululekile nalolungavuninhlangotsi","","","","ikhetho elikhululekileko nelilungileko","","","","ditlhopho tse di lokologileng di sa gobelele","","","","dikgetho tša go lokologa le go hloka bosodi","","","dikgetho tse lokolohileng","","khetho dzo vhofholowaho","","","","nhlawulo lowu ntshuxekeke no famba kahle","","",""
"freedom of association","","","","","vryheid van assosiasie","","","","","inkululeko yokuzimbandakanya","","","inkululeko yokuzibandakanya","","","inkhululeko yekutibandzakanya","","","","ikululeko yokuhlanganyela","","","","tshwanelo ya botokololo","tshwanelo ya boitsalanyo","","","tokelo ya boikgethelo","","","bolokolohi ba boikamanyo","","pfanelo ya vhuḓibaḓekanyi","","","","ntshuxeko wo tihlawulela nhlangano","","",""
"freedom of expression","","","","","vryheid van uitdrukking","","","","","ukukhuluma ngokukhululeka","","","inkululeko yokuvakalisa izimvo","","","inkhululeko yekuvakalisa luvo","inkhululeko yekubeka umbono","","","ikululeko yokuveza amazizo","","","","tshwanelotlhagisomaikutlo","","","","tokelo ya go tšweletša maikutlo","","","bolokolohi ba tlhahiso ya maikutlo","","pfanelo ya u tendelwa u amba","pfanelo ya u amba","","","ntshunxeko wo vulavula","","",""
"freedom of speech","","","","","vryheid van spraak","","","","","inkululeko yokukhuluma","","","inkululeko yokuthetha","","","inkhululeko yekukhuluma","","","","ikululeko yokukhuluma","","","","kgololosego ya puo","","","","tokelo ya polelo","","","bolokolohi ba ho bua","","pfanelo ya u amba","","","","ntshuxeko wo vulavula","","",""
"freedom of voting","","","","","vrye stemreg","stemvryheid","","","","inkululeko yokuvota","","","inkululeko yokuvota","","","inkhululeko yekuvota","","","","ikululeko yokukhetha","ikululeko yokuvowuda","","","kgololosego ya go tlhopha","","","","tokelo ya go bouta","","","bolokolohi ba ho kgetha","","pfanelo ya u vouta","pfanelo ya u khetha","","","ntshuxeko wo hlawula","ntshuxeko wo vhota","",""
"gender equality","","","","","geslagsgelykheid","gendergelykheid","","","","ukulingana ngokobulili","","","ulingano ngokwesini","","","kulingana ngekwebulili","lulinganobulili","","","ukulingana ngokobulili","","","","tekatekanobong","","","","tekatekano ya bong","","","tekano ya bong","","ndinganyiso ya mbeu","nyeḓanyiso nga mbeu","","","ndzinganorimbewu","ndzinganano hi rimbewu","",""
"general election","","","","","algemene verkiesing","","","","","ukhetho olukhulu","","","unyulo jikelele","","","lukhetfojikelele","","","","ikhetho zombelele","ikhetho jikelele","","","ditlhophokakaretso","","","","kgethokakaretšo","","","dikgetho tse akaretsang","","khethoguṱe","","","","nhlawulo wa mani na mani","","",""
"gerrymandering","","","","","afbakeningsgeknoei","","","","","uguqulomingcele yezifunda ngamabomu","","","icebo lokufumana iivoti ngokutshintsha imida","iqhinga lokufumana iivoti ngokutshintsha imida","","kugucuguculwa kwemincele yetigodzi lokunemtselela","","","","ukuqinta iimfunda zokuvowuda ngokubandlulula","","","","phetolomelelwane ka tsietso","","","","go radia mellwane","","","qhekanyetso tshehong ya moedi","","u silinga mikano","","","","ku kanganyisa mindzelekana ya swifundza","ku kharanganya mindzelekana ya swifundza","",""
"govern","rule","","","","regeer","","","","","ukubusa","","","lawula","","","busa","","","","-busa","","","","busa","","","","-buša","","","-busa","","vhusa","","","","fuma","","",""
"government {executive functions}","","","","","regering","","","","","uhulumeni","","","urhulumente","","","hulumende","umbuso","","","urhulumende","","","","puso","","","","mmušo","","","mmuso","","muvhuso","","","","mfumo","","",""
"government department","","","","","staatsdepartement","","","","","umnyango kahulumeni","","","isebe likarhulumente","","","litiko lahulumende","","","","umnyango karhulumende","","","","lefapha la mmuso","lefapha la puso","","","kgoro ya mmušo","","","lefapha la mmuso","","muhasho","","","","ndzawulo ya mfumo","","",""
"government elections","","","","","owerheidsverkiesings","","","","","ukhetho lukahulumeni","","","unyulo lukarhulumente","","","lukhetfo lwahulumende","","","","amakhetho karhulumende","","","","ditlhopho tsa puso","ditlhopho tsa mmuso","","","dikgetho tša mmušo","","","dikgetho tsa mmuso","","khetho dza muvhuso","","","","mihlawulo ya mfumo","","",""
"Government Gazette","","","","","Staatskoerant","","","","","Igazethi Kahulumeni","","","iGazethi kaRhulumente weSizwe","","","Incwadzisimemetelo Yahulumende","","","","iGazede karhulumende","","","","Kgatiso ya Mmuso","Kasete ya Puso","","","Kuranta ya Mmušo","","","Gazete ya Mmuso","","Gurannḓa ya Muvhuso","","","","Gazete ya Mfumo","","",""
"Government of National Unity","GNU","","","","Regering van Nasionale Eenheid","RNE","","","","Uhulumeni Wobumbano Lukazwelonke","","","uRhulumente woBumbano lweSizwe","","","Hulumende Welubumbano Wavelonkhe","","","","uRhulumende weBumbano","","","","Pusokopanelo","","","","Mmušo wa Botee bja Setšhaba","","","Mmuso wa Naha wa Kopanelo","","Muvhuso wa Vhuthihi ha Lushaka","","","","Mfumo wo Kondletela Vun’we bya Rixaka","Mfumo wa Nhlanganelo wa Rixaka","",""
"grass-roots democracy","","","","","voetsoolvlakdemokrasie","","","","","intando yabantu phaqa","","","inkqubo yolawulo lwesininzi yasekuhlaleni","","","intsandvo yelinyenti yawonkhewonkhe","idemokhrasi yawonkhewonkhe","","","idemokhrasi yabahlali abajayelekileko","","","","temokerasi ya batho fela","","","","temokerasi ya batho fela","","","demokerasi ya setjhaba","","dimokhrasi ya vhathu zwavho","","","","xidemokirasi xa xikaya","","",""
"Hare quota","","","","","Hare-kwota","setelkwota","","","","indlelamgomo yokwaba izihlalo","","","inkqubo yokwaba izihlalo ngokweevoti","","","indlela yekwaba tihlalo","","","","indlela yokwaba iinhlalo","","","","mokgwakabo wa ditulo","","","","mokgwakabo wa ditulo","","","khouta ya kabo ya ditulo","","quota ya hare","","","","ndzandzeriso wo avela switulu","","",""
"head of state","","","","","staatshoof","","","","","inhloko yombuso","","","umongameli","","","inhloko yembuso","","","","ihloko yombuso","","","","tlhogo ya naga","tautona","","","hlogo ya naga","","","hlooho ya naha","","ṱhoho ya shango","","","","murhangeri wa tiko","","",""
"home visit","","","","","tuisbesoek","","","","","ukuhambela amakhaya","","","ugayo-voti kumzi nomzi","","","kuhambela bavoti emakhaya","kuvakashela bavoti emakhaya","","","ukuvakatjhela amakhaya","","","","ketelomalapeng","","","","ketelo ka malapeng","","","ketelo malapeng","","ndalelamiṱa","","","","ku endzela vanhu emakaya","","",""
"honeymoon era","","","","","wittebroodtydperk","","","","","imbongampumelelo","","","ithuba lokuzilungiselela ukungena esikhundleni","","","sikhatsi sekujabula ngemuva kwekugcotjwa","","","","isikhathi sokuzijayeza","","","","pakaipaakanyetso","tshimololotiro","","","nako magareng ga tlhomamišo le go thoma mošomo","","","nako e pakeng tsa tlhomamiso le tshebetso","","tshifhinga tsha uḓigeḓa","","","","nkarhi wa le xikarhi ka ku vekiwa na ku sungula ntirho","","",""
"human rights","","","","","menseregte","","","","","amalungelo abantu","","","amalungelo oluntu","","","emalungelo eluntfu","","","","amalungelo wobuntu","","","","ditshwanelo tsa botho","","","","ditokelo tša botho","","","ditokelo tsa botho","","pfanelo dza vhathu","","","","timfanelo ta ximunhu","","",""
"identification badge","identification card","","","","identifikasieteken","","","","","isigqebhezana sokuzazisa","","","ikhadi lokuzazisa","","","imbeji yekutatisa","likhadi lekutatisa","","","ibheji yokuzazisa","ikhadi lokuzazisa","","","karataikitsiso","betšeitshupo","","","petšhe ya boitsebišo","","","betjhe ya boitsebiso","","betsho ya vhuḓiḓivhisi","garaṱa ya vhuḓiḓivhisi","","","beji ya vutitivisi","","",""
"identification mark","","","","","identifikasiemerk","","","","","uphawu lokuzazisa","","","uphawu lokuzazisa","","","luphawu lwekutatisa","","","","itshwayo lokuzazisa","","","","letshwaoitshupo","","","","leswao la boitsebišo","","","letshwao la boitsebiso","","luswayo lwa vhuṋe","","","","mfungho wa vutitivisi","","",""
"identity document","ID","ID book","ID document","identity book","identiteitsdokument","ID","ID-boek","ID-dokument","identifikasiedokument","umazisi","","","isazisi","","","matisi","i-ID","lipasi","","i-ID","ibhugwana","umazisi","","bukanaitshupo","ID","lokwaloitshupo","pasa","ID","pukwana ya boitsebišo","","tokomane ya boitsebiso","","ḽiṅwalo ḽa vhuṋe","bugundaula","","","pasi","","",""
"ID number","identity document number","identity number","","","identiteitsnommer","ID-nommer","","","","inombolo kamazisi","inamba kamazisi","","inombolo yesazisi","","","inombolo yamatisi","inombolo yelipasi","","","inomboro kamazisi","inomboro yebhugwana","inomboro ye-ID","","paloitshupo","nomoroitshupo","","","nomoro ya pukwana ya boitsebišo","","","nomoro ya boitsebiso","","nomboro ya vhuṋe","","","","nomboro ya pasi","","",""
"Commission logo","IEC monitoring directorate","","","","OVK-moniteringsdirektoraat","","","","","ihhovisi lobuqondisi eliqaphayo le-IEC","","","icandelo lolawulo lobeko-liso le-IEC","","","Luphiko Lwebacapheli be-IEC","","","","iphiko le-IEC elililihlo","","","","lephata la tekolo la IEC","","","","lefapha la tekolo la IEC","","","lekala la IEC le disang dikgetho","","ndaulo ya vhuṱoli ya IEC","","","","xiyenge xo langutisisa xa IEC","","",""
"illegal","","","","","onwettig","","","","","okuphambene nomthetho","","","okungekho mthethweni","","","-ngekho emtsetfweni","","","","-ngasisemthethweni","","","","- seng molaong","","","","go se be molaong","","","-seng molaong","","-iledzwaho","","","","lexi nga riki nawini","","",""
"illiterate supporter","","","","","ongeletterde ondersteuner","","","","","umlandeli ongafundile","","","umxhasi ongakwazi ukufunda nokubhala","","","umlandzeli longakwati kubhala nekufundza","","","","umlandeli ongakafundi","","","","motshegetsitlhoka","kitso puisokwalo","","","mothekgi wa go se kgone go bala le go ngwala","","","motshehetsi ya sa tsebeng ho bala le ho ngola","","mutikedzi a sa koni u vhala na u ṅwala","","","","museketeri loyi a nga kotiki ku hlaya na ku tsala","","",""
"illiterate voter","","","","","ongeletterde kieser","","","","","umvoti ongafundile","","","umvoti ongakwazi ukufunda nokubhala","","","umvoti longakwati kubhala nekufundza","","","","umvowudi ongakafundi","","","","motlhophitlhoka","kitso puisokwalo","","","mokgethi wa go se kgone go bala le go ngwala","","","mokgethi ya sa tsebeng ho bala le ho ngola","","muvouti a sa koni u vhala na u ṅwala","","","","muhlawuri loyi a nga kotiki ku hlaya no tsala","muvhoti loyi a nga kotiki ku hlaya no tsala","",""
"impartiality","","","","","onpartydigheid","","","","","ukungachemi","","","ukungathathi cala","","","kungatsatsi luhlangotsi","kungakhetsi","kungavuni","","ukungathathi ihlangothi","","","","tlhokatseotlhakore","","","","go se tšee lehlakore","","","ho se be leeme","","u sa dzhia sia","","","","ku nga voyameli tlhelo","","",""
"impersonation","","","","","identiteitsbedrog","","","","","ukuzenza ongeyena","","","ukuzenza umntu ongenguye","","","kutenta longasuye","","","","ukuzenza umuntu ongasuye","","","","boetsisi","","","","go itira mongwe","","","ho iketsa e mong","","u ḓiita muṅwe muthu","","","","ku tiendla munhu un’wana","","",""
"inaugural address","","","","","inhuldigingstoespraak","","","","","inkulumo yokubekwa esikhundleni","inkulumo yokuthatha isikhundla","","intetho yokubekwa esikhundleni","","","inkhulumo yekubekwa esikhundleni","inkhulumo yekugcotjwa","","","ikulumothomo","","","","puotlhomo","","","","polelo ya tlhomamišo","","","puo ya tlhomamiso","","tshipitshi tsha u rwelwa ṱari","","","","mbulavulo wa ku vekiwa exitulwini","","",""
