,eng ,eng definition ,category,afr ,nde ,xho ,zul ,nso ,sot ,tsn ,ssw ,ven ,tso 
400,Labour force,All employed and unemployed persons of working age.,Labour ,Arbeidsmag,Abantu bokusebenza,Iqela labasebenzi,Isikwatha / ithimba labasebenzi,Lebotho la baomi,Ba dilemong tsa ho sebetsa,Balekanelatiro/basiamelatiro,"Bantfu bekusebenta, tisebenti",Vhalugelamushumo,Vanhu lava ringaneleke ku tirha
401,Labour force participation rate,See labour participation rate.,Labour ,Arbeidsmag-deelnamekoers,Isilinganiso sokusebenza kwabantu,imlinganiselo wenkxaxheba yeqela labanokusenza,Izinga labambe iqhaza emsebenzini,Kelo ya boteakarolo bja lebotho/ lekoko la baomi,seabo sa basebetsi,Kelo ya balekanelatiro/basiamelatiro,Lizinga lekutibandzakanya kwebantfu bekusebenta,Tshikalavhudzhenela vhalugelamushumo,Mpimo wo hoxa xandla xa vanhu lava ringaneleke ku tirha
402,Labour market,"All persons aged 1564 years who are employed, unemployed and not economically active (inactive).",Labour ,Arbeidsmark,Imakethe yomsebenzi,Imo yemarike yabangasebenza,Abangaqasheka/ abangaba izisebenzi,Mmaraka wa baomi,Mmaraka wa basebetsi,Balekanelatiro/basiamelatiro,Imakethe yebantfu bekusebenta,Tshigwada tsha vhalugelamushumo,Vanhu lava ringaneleke ku tirha
403,Labour market dynamics,"Movement into, out of, and within the labour market over a specified time period.",Labour ,Arbeidsmarkdinamiek,Amatjhuguluko wemakethe yomsebenzi,Intshukumo yeziko labasebenzi,Ukuguquguquka kwesimo sabangaqasheka,Diphetogophetogo ta mmaraka wa baomi,Sekgahla sa mmaraka wa basebetsi,Diphetogo tsa balekanelatiro/basiamelatiro,Tingucungucuko temakethe yebantfu bekusebenta,Thitho dza tshigwada tsha vhalugelamushumo,Ku cinca ka swiyimo swa timakete ta vatirhi
404,Labour market status,"Classification as employed, unemployed or not economically active.",Labour ,Arbeidsmarkstatus,Ubujamo bemakethe yomsebenzi,Ubume boluhlu lwemarike yabasebenzi,Izimo zabangaqasheka,Maemo a mmaraka wa baomi,Boemo ba mmaraka wa basebetsi,Kemo ya balekanelatiro/basiamelatiro,Bunjalo bemakethe yebantfu bekusebenta,Thitho (u dzulela u shanduka) tshiimo tsha tshigwada tsha vhalugelamushumo,Swiyimo swa timakete ta vatirhi
405,Labour participation rate,"The percentage of the working-age population that is economically active (employed and unemployed), i.e. labour force/labour market. Synonym is labour force participation rate.",Labour ,Arbeidsdeelnamekoers,Isilinganiso sokusebenza kwabantu,Umlinganiselo wenxaxheba yabasebenzi,Izinga lokubabamba iqhaza emsebenzini,Kelo ya go tea karolo ga baomi,Sekgatlha sa seabo sa basebetsi,Kelo ya bonnaleseabe jwa balekanelatiro/basiamelatiro,Lizinga lekutibandzakanya kwebantfu bekusebenta,Tshikala vhudzhenelavhalugelamushumo,Mpimo wa ku hoxa xandla wa vanhu lava ringaneleke ku tirha
406,Legal working age,"See working age, legal.",Labour ,Wetlike werksouderdom,Iminyaka yobudala yokusebenza ngokomthetho,Iminyaka esemthethweni yokusebenza,Iminyaka esemthethweni yokuqasheka,Mengwaga ya maloka a go oma,Dilemo tsa molao tsa ho sebetsa,Dingwaga tsa go dira tsa semolao,Iminyaka yekusebenta lesemtsetfweni,Murolendugelamushumo,Malembe yo tirha ya xinawu
407,Lockout,"A work stoppage in which an employer prevents some or all employees from working, even to the extent of closing the business.
Note: This usually happens when there is a dispute between the employer and employees.",Labour ,Uitsluiting,Ukuvalelwa ngaphandle (kweensebenzi),ukuvalelwa ngaphandle emsebenzini,Ukuvalelwa ngaphandle kwabaqashiwe / Kwezisebenzi,Go tswalelelwa ka ntle,Thibelo,Tswalelontle / Kganelotiro,Kuvalelwa ngaphandle emsebentini,U valelwa/u thivhela vhathu u shuma ngau vha valela nna,Ku pfaleriwa ntirho
408,Long-term unemployment,The status of a person who has been unemployed for a period of twelve months or more.,Labour ,Langtermynwerkloosheid,Ukungasebenzi isikhathi eside,ukungaphangeli ixesha elide,Ukungaqashwa isikhathi eside,Go se ome ga lebaka le letelele,Ho se sebetse nako e telele,Tlhokatiropakaleele/pakatelele,Kungacashwa,U fhedza tshifhinga tshilapfu u sa shumi,Ku pfumala ntirho nkarhi wo leha
409,Market production activities,Activities associated with the production of goods and services for sale. Government services are also included. See economic activities.,Labour ,Markproduksiebedrywigheid,Imisebenzi yemikhiqizo yeemakethe,iimveliso zorhwebo,Umsebenzi wokukhiqiza okuzodayiswa,Ditiro ta tweleto ya mmaraka,Mesebetsi ya tlhahiso bakeng la mmaraka,Ditirwanakumommaraka,Kukhicitela kutsengisa,Mushumo wa vhubveledzi ha mbambadzo / Nyito ya vhubveledzi ha mbambadzo,Migingiriko yo andzisa switirhisiwa
410,New entrant into unemployment,Unemployed people who have never worked before.,Labour ,Nuwe toetreder tot werkloosheid,Abathoma ukubalwa nabatlhoge / Nabadinge umsebenzi,umntu ongena kwiqela labangenamsebenzi,Ongakaze aqashwe,Monyakamoomo wa setlaboswana,Motho ya kenang dipalong tsa ba so kang ba sebetsa,Mogorogamawabotlhokatirong / Motsenabotlhokatirong / Setlabowanabotlhokatirong,Labangazange sebacashwe / Losengakacashwa,Muthu muswa /mudzheni kha vhushayamushumo,Munhu loyi a nga si tshamaka a tirha
411,Non-government organisations,"Institutions which are not established or operated by government. NGOs are usually private, non-profit entities which are run by their members.",Labour ,Nieregeringsorganisasie,Ihlangano ekungasiyo karhulumende,amaziko angengawo akarhulumente,Inhlangano okungeyona ekahulumeni,Mekgatlo ye e sego ya mmuo,Mekgatlo eo e seng ya mmuso,Ditheoikemelo / Mekgatlhoikemelo,Tinhlangano letitimele / Tinhlangano tangasese,Madzangano a si a muvhuso,Nhlangano wo ka wu nga ri wa mfumo
412,Non-market production activities,Activities associated with the production of goods and services for household consumption.,Labour ,Niemarkproduksiebedrywigheid,Imisebenzi engasiyo yemikhiqizo yeemakethe,imveliso ezingezizo ezorhwebo,Umsebenzi wokukhiqizela ukungadayisi,Ditiro ta tweleto ye e sego ya mmaraka,Mesebetsi ya tlhahiso bakeng la tshebediso ya lelapa,Ditirwanakumotlhokammaraka,Kukhicitela kutitsengisela / Umkhicito wekutiidlela,Mishumo ya u bveledza zwi sa rengiswi,Migingiriko leyi nga tswaliki nchumu
413,Not economically active population,"People who are not available for work, such as full-time scholars and students, full-time homemakers, those who are retired and those who are unable or unwilling to work.",Labour ,Bevolking wat nie ekonomies aktief is nie,Abangasebenziko,Abantu abangenagalelo kwezoqoqosho,Abangangenile shi kwezomnotho,Sethaba sa go hloka maloka a go oma,Setjhaba se senang seabo moruong,Batho ba ba se nang seabe mo ikonoming,Labangakalungeli kusebenta,Vhathu tshayandugelamushumo,Vanhu lava nga kumekiki ku tirha
414,Occupation,"The type of work a person does according to the South African Classification of Occupations, irrespective of the industry.",Labour ,Beroep,Umhlobo womsebenzi,Uhlobo lomsebenzi,Umsebenzi owenzayo,Moomo,Mosebetsi,Tiro; mmereko,Umsebenti,Mushumo,Ntirho
415,Occupational groups,"Occupational groups are divided into eleven groups; for example, senior managers, professionals, technicians, services workers, labourers, etc. (Stats SA).",Labour ,Beroepsgroepe,Iinqhema zemihlobo yemisebenzi,Amaqela eendidi zomsebenzi,Amaqoqo emisebenzi,Dihlopha ta baomi,Dihlopha tsa mesebetsi,Maemotirong,Tikhundla ngekwemisebenti,Zwigwada zwa mushumotetshelwa,Mitlawa ya vatirhi
416,Official and expanded definition of unemployment,"Stats SA uses the following definition of unemployment as its official definition: The unemployed are those people within the economically active population who: (a) did not work during the seven days prior to the interview, (b) want to work and are available to start work within two weeks of the interview, and (c) have taken active steps to look for work or start some form of self-employment in the four weeks prior to the interview. The expanded definition of unemployment excludes criterion (c).",Labour ,Amptelike en uitgebreide definisie van werkloosheid,Ihlathululo esemthethweni neluliweko yokungasebenzi,Inkcazelo yentswela-ngqesho ngokwasemthethweni nechazwe ngokupheleleyo,Incazelo elulekile yokungasebenzi kwabantu esemthethweni,Tlhalookatolowa ya semmuo ya ba go hloka moomo le ba go se ome,Tlhaloso ya semmuso le e ekeditsweng ya ho se sebetse,Thanolo ya semmuso e e atolositsweng ya botlhokatiro,Inchazelo lesemtsetfweni naleluliwe yekungasebenti,Ningothanavhudzwa ya mulayo / tshiofisi ya tshayamushumo,Nhlamuselo ya ximfumo na yo ndlandlamuxiwa ya ku nga tirhi
417,Out of labour market,See not economically active population.,Labour ,Buite arbeidsmark,Abangasebenziko,Abantu abangekho msebenzini,Abangaqasheki,Bao ba sa omego,Ka thoko ho mmaraka wa mosebetsi,Batho ba ba sa siamelang/lekaneng go dira,Ngaphandle kwemakethe yebantfu bekusebenta,Nna ha tshigwada tsha vhalugelamushumo,Vanhu lava nga kumekiki ku tirha
418,Overtime,"Hours worked in excess of ordinary time, standard or agreed hours.",Labour ,Oortyd,Isikhathi eseqileko,Ixesha lokusebenza elingaphezu kwelimiselweyo emsebenzini,Isikhathi esisetshenziwe esingaphezu kwesimisiwe/i -ova,Nako ye e okeditwego; phitianako ya moomo,Nako e ekeditsweng,Nakotlolo; nakopheteledi,"Ema-ova, sikhatsi lesengcelele",Phirisatshifhinga tsha mushumo,Nkarhi wo engetela
419,Overtime hours paid for,"Those hours worked in excess of ordinary-time hours, standard or agreed hours of work that was paid for in the reference period.",Labour ,Betaalde oortydure,Ama-awa wesikhathi eseqileko / we- ovathayimu abhadaliweko,Iiyure zokusebenza ezihlawuliweyo zexesha elingaphezu kwelimiselweyo,Amahora e-ova akhokhelwe,Diiri ta nako ye e okeditwego ta moomo,Dihora tse lefellwang tsa nako e ekeditsweng,Diura tsa nakotlolo/nakopheteledi tse di duelelwang,"Ema-awa/ ema-ova lakhokhelwe, ema-awa esikhatsi lesengcelele lakhokhelwe",Awarambadelwa dza phirisatshifhinga,Tiawara to engetela to hakeriwa
420,Overtime payments,"Payment for hours worked and paid for in excess of ordinary-time hours, standard or agreed hours worked for the reference period. Penalty payments that relate to overtime are also included.",Labour ,Oortydbetalings,Iimbadelo zesikhathi eseqileko/ ze-ovathayimu,Iintlawulo zexesha elingaphezu kwelimiselweyo,Inkokhelo ye -ova,Meputso ya nako ye e okeditwego,Ditefello tsa nako e ekeditsweng,Dituelo tsa nakotlolo; dituelo tsa nakopheteledi,Inkokhelo yesikhatsi lesengcelele,Mbadelo dza phirisatshifhinga,Tihakelo ta nkarhi wo engetela
421,Own-account worker,Preferred term is self-employed.,Labour ,Werker vir eie rekening,Umuntu ozisebenzako,Umntu ozisebenzelayo,Umuntu ozisebenzayo,Moitiredi/Moithomedi,Moitshebetsi,Moithapi; moitiredi,Lotisebentako,Muishumeli,Mutitirhi
422,Paid domestic work,Work done in a private household for a cash payment.,Labour ,Betaalde huiswerk,Umsebenzi wekhaya obhadelako,umsebenzi wasekhaya ohlawulwayo,Umsebenzi wasendlini okhokhelwayo,Moomo wa ka gae wo o lefelwago,Mosebetsi o lefshwang wa lelapa,Tirogaetuelelwa,Sisebenti sasendlini / Sisebenti sasekhaya lesikhokhelwako,Mushumo wa nuni une wa badelwa,Ntirho wa le kaya lowu hakelaka
423,Part-time employees,"Employee (permanent, temporary, casual or seasonal) who normally works less than 35 hours per week.",Labour ,Deeltydse werknemers,Iinsebenzi ezitorhako,Abasebenzi abangesosigxina/ abangxungxi,Izisebenzi eziqashwe okwesikhashana,Baomedi ba nakwana,Bahiruwa ba nakwana,Badiredi/bathapiwa ba nakwana,Bacashwa besikhatsi lesitsite,Vhashuma-/ vhatholwa-/ vhahirwa tshifhinganyana,Vatirhi va xinkarhana
424,Pay As You Earn (PAYE),An amount collected by employers on behalf of the government from employees whose net remuneration from employment exceeds a predefined amount.,Labour ,Lopendebetaalstelsel (LBS),UmThelo umQatjhi awuDosa esiSebenzini,"irhafu etsalwa ngokomrholo, intlawulo ngokomvuzo",Intela ngokweholo,Mothelo go ya ka moputso,Kgafa Ho Ya Ka Mokgolo,Duela Jaaka O Amogela (DJOA),Intsela ngekweliholo,Muthelo zwi tshi ya nga muholo,Xibalo Ku ya Hi Muholo
425,Payment,"An approach that takes into account the total payments made for goods and services during a given period, whether or not they were delivered in that period.",Labour ,Betalingsbenadering,Indlela yokubhadela,indlela yokuhlawula,Indlela yokukhokha,Mokgwa wa tefo,Mokgwa wa tefo,Mokgwatuelo,Indlela yekubhadala,Nila ya kubadelele,Mahakelelo
426,Payment in kind,A kind of payment other than cash for work undertaken.,Labour ,Betaling in natura,Ukuthokoza,intlawulo engeyomali,Ukungakhokhi ngemali,Tefo ye e sego ya thelete,Teboho,Tuelosengmadi / Tuelotlhokamadi,Kukhokhela ngandlela tsite,Malamba a si a masheleni / Mbadelo i si ya masheleni,Xikhenso
427,Pensioner,"(1) Any person of pensionable age
(2) A person who draws a pension from a previous employer or pension fund, or who 2)A person who draws a pension from a previous employer or pension fund, or who receives a state pension.",Labour ,Pensioentrekker,Umhlaliphasi; umpentjheni,Odl umhlalaphantsi,Osempeshile; osempeshenini,Phensenara/mogolamphiwafela,Mopenshenara,Mogodi; mophenenara,Umhlaliphansi,Munothi /mundendi,Muholi wa mudende/mudendi
428,Performance and other bonuses,"Performance and other bonuses cover seasonal, end-of-year and one-time bonuses and additional payments supplementary to normal payments. Note: They include profit-sharing bonuses, merit bonuses, incentive bonuses, and total amounts of payments that were paid during the reference period but relate to other pay periods, e.g. annual leave, thirteenth cheques. Performance and other bonuses exclude reimbursements for expenses incurred whilst conducting employers business.",Labour ,Prestasie- en ander bonusse,Amabhonasi wokusebenza namanye,Iibhonasi zokugqwesa emsebenzini nezinye/ zomsebenzi oncomekayo nezinye,Amabhonasi ngokusebenza ngokugculisayo namanye,Diputseleto ta bokgoni le te dingwe,Dibonase tsa tshebetso le tse ding,Dikatso tsa tiragatsophetelela le tse dingwe,Ibhonasi yekusebenta nalamanye emabhonasi,Mbadelo dza ndivhamashumele na dziwe nyingambadelo / bonasi,Tibonasi ta matirhelo na tinwana
429,Permanent employee,"An employee appointed on an open-ended contract with no stipulated termination date, and who is entitled to benefits such as paid leave and medical aid contributions paid by employers. This excludes the self-employed at work.",Labour ,Vaste werknemer,Isisebenzi sasafuthi/sikanomphela,Umqeshwa osisigxina,Umsebenzi oqashwe ngokugcwele,Moomelaruri,Mohiruwa wa moshwella,Mothapiwa wa leruri; modiredi wa leruri,Umcashwa ngalokuphelele,Mutholwa-/muhirwa-/ mushumatshohe,Mutirhi wa nkarhi hinkwawo
430,Person outside the labour force,"A person who performs unpaid work such as household work, caring for household members and purchasing goods and services for the household (ILO).",Labour ,Persoon buite die arbeidsmag,Ongekho kabokusebenza,Umntu ongekho kudidi lwabasebenzi,Umuntu ongasebenzi/ ongasebenzi,Moomi yo a sa omelego mogolo/moputso,Ya se nang seabo moruong,Motho yo o sa siamelang /lekanelang go dira,Umuntfu lowenta umsebenti longakhokhelwa,Muthu a re nna ha vhalugelamushumo,Munhu loyi a nga weliki ehansi ka vanhu lava ringaneleke ku tirha
431,Post,"A set of tasks, which are (designed to be) carried out by one person. Post may be vacant (ILO).",Labour ,Pos,Isikhundla somsebenzi; iposo,Isithuba somsebenzi,Isikhundla,Poso,Mosebetsi,Phatlhatiro,Sikhala semsebenti/sikhundla,Vhuimo ha mushumo / poswo,Xivandla xa ntirho
432,Re-entrants into unemployment,"Unemployed persons who worked before, and were not economically active before they started looking for work.",Labour ,Hertoetreder tot werkloosheid,Abatlhoge / Abadinge umsebenzi godu,umntu obuyela kwiqela labangasebenziyo,Ongasaqashiwe,Banyakamoomoleswa / Banyakamoomogape,Motho ya kenang kgetlo la bobedi dipalong tsa ba sa sebetseng,Moipoeletsibotlhokatirong / Batsenagapebotlhokatirong / Mmoelelabotlhokatirong,Lowake wasebenta,Mudzhenahafhu kha vhushayamushumo,Mahlalele
433,Remuneration,The major part of income from employment which also contains the income from self-employment (ILO).,Labour ,Besoldiging,Imbuyiselo,Umvuzo,Inkokhelo,Mogolo/moputso/tefelo wa/ya baomedi,Moputso,Moputso; tuelo; mogolo,"Inkhokhelo, imbadalo",Muholo,Muholo
434,Remuneration of employees,"Total cost of employment, including salaries, wages, service and other bonuses, allowances (including car allowances), overtime payments, retirement benefits, contributions to medical, pension and provident funds, unemployment insurance and accident funds, and housing subsidies.",Labour ,Besoldiging van werknemers,Imbuyiselo yeensebenzi,Umvuzo wabasebenzi,Inkokhelo yabasebenzi/yezisebenzi,Mogolo wa baomedi; moputso wa baomedi; tefelo ya baomedi,Moputso wa bahiruwa,Tuelo ya bathapiwa; moputso wa bathapiwa; mogolo wa bathapiwa,Imbadalo/inkhokhelo yebacashwa,Muholo wa vhashumi / vhatholwa / vhahirwa,Muholo wa vatirhi
