eng,afr,zul,xho,ssw,nbl,nso,tsn,sot,ven,tso
pose,oplewer,dala,-misa,niketa,-letha,hlama,baka bothata,baka, vhangela,-nyika
pose,vra,buza,-buza,buta,-buza,botšiša,botsa,botsa, vhudzisa,-vutisa
posit,voorstel,beka,-thabatha,vakalisa,-phakamisa,kakanyo,tshegetsa ntlha,bolela, bula,ku yima eka mhaka yo karhi
positive,positief,okuhle,-elungileyo,-hle,-hle,"tiilego, sammaruri, nnete",-siameng,lokile,  -vhuya,ya kahle
positive,positief,okuvumayo,-exhasayo,sekelwa,-sekelako,"tiilego, sammaruri, nnete",-tshegetso,tshehetsa,  -vhuya,lowunene
positive,positief,okunesiqiniseko,-qinisekileyo,cinisekile,-qinisiweko,"tiilego, sammaruri, nnete",-tlhomame,tiya, na vhuṱanzi,ku tikhorwisa
possible,moontlik,okungenzeka,-nokwenzeka,-khoneka,-kghonakalako,"kgonego, kgonega",-kgonegang,kgoneha, konadzea,koteka
postulate,postuleer,cabangela,-thatha njengento ekhoyo,beka njengeliciniso,-phakamisa,"o kare, bona gore, gopola gore",itlhoma,qeta, ṱahisa,ku swi teka swi ri swona
potential,potensiaal,okungenzeka,-nokubakho,-kungaba nemandla,-thuthukiswako,"kgonegago, e ka bago, modirišokgonego",-kgonegang,kgoneha, konadzeaho,nkoteko
potential,potensiaal,okusemathubeni okwenzeka,amandla aleleyo,emandla,ikghonakalo,"kgonegago, e ka bago, modirišokgonego",bokgoni,bokgoni, khonadzeo,nkoteko
practice,praktyk,umsebenzi,umsebenzi,kusebenta,isenzo,"diriša, tlwaetšo, mošomo, mokgwa",tiro,tshebetso, mushumo,maendlelo
practise,beoefen,enza,-ziqhelisa,landzela,-phrakthisa,"diriša, tlwaetšo, mošomo, mokgwa",dirisa ka tlwaelo,phethahatsa, tevhela,-landzela
practitioner,praktisyn,umsebenzi,igcisa,sisebenti,isisebenzi,"modiriši, mošomiši",modiri wa porofešenale,ngaka, mushumisi,xitivinkulu
pragmatic,pragmaties,okubuswa umqondo othile,-ephathekayo,-entekako,-zwakalako,didirišwa tšeo e sego teori,-isegang,ka ketso, tshilaho,ku endla kunene
precede,voorafgaan,landelwa,-andulela,ndvulela,-andulela,"tla pele, eta pele",etelela,eteletswe pele, rangela,-rhangeriwa
precedence,voorrang,ukubaluleka,umzekelo,sendvulelo,ukuqakatheka,"sa pele, sa mathomo",setlapele,thatohatsi, vhurangeli,ku tekelela kusuka eka
precipitate,verhaas,phulukundlelisa,-wisa,phangisa,-khalakatheka,"wela godimo, kotimela, phakiša, digela",potlakisa,kgothaletsa, vhiludza,- hatlisisa
precipitate,oorhaastig,okunokutatazela,-ewayo ngesaquphe,masinyane,-msinya,"wela godimo, kotimela, digela, phakiša",phosumela,potlaka, vhuvhiludzi,ku va swa xihatla swinene
precise,presies,okunembayo,-ithi ngqo,kunemba,-nembako,"hlokomelago, nepago, elago hloko",-tota,nepahala, lumbamaho,lexi nga erivaleni no kongoma
predict,voorspel,qagela,-ngocoselelo,combela,-bonela phambili,"laola, laolela pele",bonela pele,lepa, ḓivhonadza,-hlavutela
predominant,oorwegende,okukhulu,-ongamayo,ngamele,-ngamandla,"laolago, renago, hlolago",-laolang,wa sehlooho, andaho,lexi fumaka swinene
prejudice,vooroordeel,ingcindezi,ukuqal’ugwebe,lubandlululo,ibandlululo,"kgetholla, tsebafala, hlaola",kgobelelo,tshekamelo, lusando,lexi fumaka swinene
preliminary,uitdun,isendlalelo,-eyokuqala,lungiselela,-thomako,"sa mathomo, e tlago pele",-pele,ya pele, no rangela,yo sungula
preliminary,voorbereidende,into eyenzeka ngaphambilini,ukutshayelela,emalungiselelo,ukuthoma,"sa mathomo, e tlago pele",matseno,ya pele, -rangeli,yo sungula
premise,"beskouing, aanname",umqondo,isindululo sengxoxo,umbono,umbono,beapele,kakanyotheo,mokotaba, muhumbulomuṱuṱuwedzi,nsimeko
premise,van veronderstelling uitgaan,isho ngokucacile,-ukwenza ingxoxo,misela,-dzimelela,beapele,thaya kakanyotheo, thea, sendeka,-simeka
preposition,voorsetsel,undaweni,umbekwa -phambili,ndzaweni,undaweni,lešala,lesupi,lebopi, thangelavhuimo,xirhangi
prestige,prestige,ukuphakanyelwa,udumo,sitfunti,idumo,seriti,seriti,tlotlo, tshirunzi,xiyimo xa manyunyu swinene
presume,veronderstel,cabanga,-cingela,cabanga,-thatha,"nagana gore, gopola gore, bona gore",tseela gore,tshepa, tenda,-tshemba
presume,veronderstel,cabangela,-cingela,cabanga,-thatha,"nagana gore, gopola gore, bona gore",tseela gore,tshepa, tendea,ku va swi tekiwa swi ri swona
prevail,voortbestaan,qhubeka,-ukubakho kakhulu,dvuma,-ragela phambili,"fenya, buša","fekeetsa, fenya",ho ba teng, tambala,ku va kona
prevail,geld,yiba khona,-ukubakho ngokuqhelekileyo,-iba khona,-iba khona,"fenya, buša",nna teng ka nako e e rileng,ho ba teng, tshila na-,ku va kona
previous,vorige,okwedlule,-yangaphambili,phambilini,-gadungileko,"pele, ya pele","-fetileng, pele",feta, rangela,nkarhi lowu hundzeke
primary,primêre,okunqala,-eyokuqala,-khulu,-thomako,"ya pele, ya ntlha","-ntlha, golo",se seholo,  -hulwane,"xa vukulukumba , -nkulu"
prime,vernaamste,okukhulu,-eyodidi lokuqala,-khulu,-qakathekileko,"ya pele, ya ntlha","-golo, botlhokwa",se seholo, vhukuma,"xa vukulukumba , -nkulu"
principal,vernaamste,okukhulu,-eyona ibalulekileyo,baluleke kakhulu,-qakathekileko,"hlogo, golo, ya ka pele",-golo,e kgolo,  -hulwanesa,"xa vukulukumba , -nkulu"
principle,beginsel,umgomo,inqobo,umtsefomgomo,irherho,"kutu, theo, molao, tsela, taolo, thuto",molawanatheo,leano, tshilangi,nsinya
principle,beginsel,ngokuvamile,umthetho,simiso,ikambiso,"kutu, theo, molao, tsela, taolo, thuto",ka kakaretso,leano, lutendo,nsinya
prior,vooraf,ngaphambilini,-ephambi kwe,phambilini,-ngaphambili,"pele, ya pele",-pele,pele, rangela,kusungula
priority,prioriteit,ubunqala,ilungelo eliphambili,mabekwa embili,ukunyula,setlapele,setlapele,bohlokwa, vhuimomabale,xirhangana
probable,moontlik,okusengenzeka,-lindelweyo,kungenteka,-kghonakalako,"e ka bago, yo a ka bago",e kete,kgoneha, khonadzeo,swi nga humelela
proceed,voortgaan,qhubeka,-qhubeka,chubeka,-raga,"tšwela pele, iša pele, tšwelela, e ya pele",tswelela pele,tswela pele, pfukela,ku hundzela emahlweni
process,proses,isenzeko,inkqubo,inchubo,ikambiso,"tshepetšo, tšwelopele, go sepela, go ya pele, kišopele","tirego, tsamaiso",tshebetso, nyitothevhekani,endlelo
process,prosesseer,enza,-faka ulwazi,ndlulisa,-faka,"tshepetšo, tšwelopele, go sepela, go ya pele, kišopele",tsenya mo khomphiutheng,hlahlamanya, saukanya,-hlela
procure,bekom,thola,-fumana,tfola,-thola,"bona, hwetša, humana",bona,fumana, renda,ku endla xikombelo xa makumelo
professional,professionele persoon,usolwazi,igcisa,ingcweti,ilwazi,"boprofešenale, boipolelo",porofešenale,setsebihadi, phurofeshinaḽa,phurofexinala
professional,professionele,okuqeqeshiwe,-eyobuchule,bungcweti,-ngokwephrofetjheni,"boprofešenale, boipolelo",-porofešenale,setsebihadi,  phurofeshinaḽa,phurofexinala
progress,vordering,ukuqhubeka,inkqubela,inchubekela embili,iragelo,"tšwela pele, iša pele, tšwelela, e ya pele",tswelelopele,tswela pele, mvelaphanḓa,ku ya emahlweni
prohibit,verbied,nqabela,-thintela,-ala,-vimbela,"iletša, thibela, ganela",iletsa,thibela, iledzwa,-yirisa
project,voorspel,veza,-bonisa,habisa,-tlama,"protšeke, akgela, tomoga, rera",bonela pele,lepa, anganya,-ambambela
project,projek,iprojekthi,iprojekthi,"umklamo, iphrojekthi",iphrojekthi,"protšeke, akgela, tomoga, rera",porojeke,mosebetsi, thandela,phurojeke
promote,bevorder,khuthaza,-xhasa,khutsata,-thuthukisa,"tšwela pele, iša pele, tšwelela, e ya pele",tsweletsa,matlafatsa, ṱuṱuwedza,-tlakusa
promote,bevorder,khuphula,-nyusela,khuphula esikhundleni,-phakama,"tšwela pele, iša pele, tšwelela, e ya pele",tlhatlosa,phahamiswa, alusa,-tlakusa
proof,bewys,ubufakazi,ubungqina,bufakazi,ufakazi,"bohlatse, bopaki",sesupo,bopaki, vhuṱanzi,vumbhoni
propagate,versprei,fundisa,-sasaza,sabalalisa,-rhatjha,"tswadiša, gaša, atiša",gasagasa,totobatsa, anḓadza,-byala
propensity,neiging,ukuthanda,ukuthambekela,umkhuba,umukghwa,tlwaelo ye e rilego,mokgwanyana,kgonahalo, dzema,ntolovelo
proportion,proporsie,ingxenye,isahlulo,incenye,ingcenye,"tekatekano, lekana, karolo ya",selekano,karolo, tshipiḓa,mpimapimaniso
proportion,verhouding,ukulingana,ulwalamano,incenye,ingcenye,"tekatekano, lekana, karolo ya",selekano se se nepagetseng,tekanyetso,ndingandingano,hi ku ringanisa
prospect,vooruitsig,ithuba,isithembiso,kwenteka,ipumelelo,"tshepa, kholofelo",tsholofelo,bokgoni, khonadzeo,nkoteko wa vumundzuku lebyinene
protocol,protokol,iphrothokholi,umthetho wokuziphatha,iphrothokholi,ikambiso,tatelo,porotokholo,mokgwa,maga,phurotokholo
prove,bewys,bonisa,-ngqinela,fakazela,-fakazela,"bohlatse, bopaki",supa,paka, sumbedza,-kombisa
publication,publikasie,ukushicilela,ukupapasha,lushicilelo,umkhiqizo,kgatišo,phasalatso,phatlalatso, nyanḓadzo,nkandziyiso
publication,publikasie,ukumemezela,ukusasaza,satiso,ukukhupha,kgatišo,phasalatso,phatlalatso, nyanḓadzo,nkandziyiso
publish,publiseer,shicilela,ukushicilela,shicilela,-khupha,gatiša,phasalatsa,phatlalatsa, anḓadza,-kandziyisa
purchase,aankoop,okuthengwayo,intengo,setsengwa,ukuthenga,theko,theko,theko,tshirengwa ,xixaviwa
purchase,koop,thenga,ukuthenga,tsenga,-thenga,reka,reka,reka, renga,-xava
purport,voorgee,cabangela,-ukuthetha ngokungathi,condzisa,-thathwa,"kgopolo, morero",ikaya e le,tiisa, ḓisumbedza,-langutiseka
pursue,navolg,landelela,-landela,landzelela,-zama,"latela, šala morago, hlomare",leleka,latella, tevhela,ku hisekela ku kuma
qualify,toelig,sekela,-lungela,chaza,-ngezelela,"hlahloša, hlaola, itokišetša modiro wo itšego",tlhalosa,hlalosa, ṱalusa,ku nyika nhlamuselo
qualitative,kwalitatief,okuyikhwalithi,-eyohlobo,-linani,-khambisanako,boleng,-bolengtlhotlhwa,ya boleng, phimavhudzivha,swa nkoka
quotation,aanhaling,amazwi acashuniwe,isicatshulwa,sicashunwa,umdzubhulo,"setsopolwa, tsopolo",nopolo,qotso, maṱumbulwa,ntshaho
quote,aanhaal,caphuna,-caphula,caphuna,-dzubhula,tsopola,nopola,qotsa, ṱumbula,-tshaha
radical,radikaal,okunamandla,-egqibeleleyo,ngemandla,-tjhugululiweko,phetošo kudu,-gakgamatsang,e kgolo, kalulaho,ka matimba swinene
radical,radikaal,okubeleselayo,-exhasayo,ngemandla,-kwepolotiki,phetošo kudu,-boitsetsepelo jwa sepolotiki,a matla, kalulaho,hinsekelo wa hundzuluxo wa vanhu wa matimba ni nkhaqato
radical,radikaal,isikhwishikhwishi,umntu oxhasa inguquko,lishanhlitiyo,amaradikhali,morabele,moitsetsepedi,mokgothaletsi, ḽiravhele,muhundzuluxi wa matimba ni nkhaqato
random,ewekansig,ngokungaqondile,-indlela enika amathuba alinganayo,ngahleleki,-khethako,ye e sa kgethego,-tlhophilweng ka thulaganyo e e sa totobalang,e sa tsepamang, rendomo,mahlawulelo yo tlultlula
random,willekeurig,ngokungahleliwe,-nakanjanina,ngahleleki,-khambelako,ye e sa kgethego,-kwa ntle ga thulaganyo e e rileng,hwerehana, vilinga,ku fambafamba handle ko teka tlhelo ro karhi
random,ewekansig,ngokungahleliwe,-indlela yamathuba alinganayo,ngahleleki,-ngakhethiko,ye e sa kgethego,-tlhophilweng ka thulaganyo e e sa totobalang,e sa hlophiswang,rendomo,yo tlovatlova
range,reeks,inxanxathela,uludwe,umkhakha,umhlobo,"phapano, fapana, fapafapana",mefutafuta,lethathamo, mutevhe,nongoloko
range,reeks,ubungako,umgama,umkhakha,isilinganiso,"phapano, fapana, fapafapana",tekanyetso,meedi, mpimo,nongoloko
range,varieer,yehlukana,-dwelisa,sukela,-hluka,"fapana, fapafapana",fapaanya,fapana, tshimbila,-xaxamela
range,varieer,sukela,-xananaza,sukela,-hluka,"fapana, fapafapana",akaretsa,fapana, tshimbila,-longoloka
ratio,verhouding,ubungako,ulwalamano,ireshiyo,iretjhiyo,"kabo, ratio",kabo,seabo, ndivhanele,mpimanyiso
rational,rasionele,okunengqondo,-enengqondo,-ngengcondvo,-nganangqondo,kgopolo,-ikaegileng ka mabaka,utlwahala, - elekanywaho,lexi twalaka
react,reageer,enza okuthile,-sabela,phendvula,-tjengisa,"fetoga, fetola",tsiboga,arabela, nyanyuwa,-angula
realise,besef,bona,-qonda,bona,-lemuka,"bona, lemoga, ela tlhoko",lemoga,hlokomela, limuwa,-lemuka
reason,redeneer,ahlulela,-zathuza,sizatfu,-ahlulela,"lebaka, tlhaologanyo",fitlhelela tshwetso,arabela, elekanya,-ehleketisisa
reason,rede,isizathu,isizathu,sizatfu,isizathu,"lebaka, tlhaologanyo",lebaka,karabo, tshiitisi,xivangelo
reason,rede,ukucabanga,ingqiqo,sizatfu,umbono,"lebaka, tlhaologanyo",bokgoni jwa go akanya,monahano, ngelekanyo,ehleketisiso
recommend,aanbeveel,ncoma,-ncoma,coma,-phakamisa,"tumiša, eletša, digela",atlanegisa,kgothaletsa, themendela,-bumabumela
recount,vertel,zeka,-balisa,coca,-coca,"anegela, akanya","kakanya, anegela",hopola, anea,-rungula nakambe
recount,vertelling,umzekelo,ibali,ingcoco,ukucoca,"anegela, akanya",kanegelo,sehopotso, nganea,ndzungulo nakambe
recover,herstel,lulama,-chacha,lulama,-lulama,"go hwetša, bona, boela",boela mannong,hlaphohelwa, fhola,-hlakarhela
recover,verhaal,buyisela,-fumana kwakhona,buyelwa,-buyisa,"go hwetša, bona, boela",busa,fumana, vhuya,ku kuma nakambe
recur,herhalend,phindaphindeka,-enzeka kwakhona,enteka njalo njalo,-enzekako,"boela, boelela, diragala gape",-ipoeletsang,ipheta, dovholola,-vuyelela
refer,verwys,"dlulisela, dlulisela",-gqithisela,ndlulisa,-dlulisa,"bolela ka, bolela ka ga, šupa",romela,fetisetsa, hwedza,-hundzisela
refer,verwys,khombisa,-xela imvelaphi,shano,-thokoza,"bolela ka, bolela ka ga, šupa",umaka,qotsa, sumba,-yelanisa
refer,verwys,thumela,-khangela,tsatsisa,-qala,"bolela ka, bolela ka ga, šupa",lebelela,fetisetsa, laedza,-yelanisa
reference,verwysing,ireferensi,isalathiso,iriferensi,ireferensi,"malebana, tšhupetšo",tshupetso,mohlodi, mbulatshiko,xiyelaniso
refine,verfyn,colisisa,-cokisa,colisa,-enza,"hlwekiša, sekiša",ntlafatsa,hlabolla, khwiṋisa,-pfuxeta
reflect,besin,bukisisa,-cinga ngononophelo,khombisa,-tjengisa,"bonagatša, bontšha, hlagiša",akanya,bontsha, fhima,ku ehleketa nakambe
reflect,besin,bonisa,-bonakalisa,buketa,-tjengisa,"bonagatša, bontšha, hlagiša","supa, bonagatsa",hlakisa, ka,-ehleketa
reform,hervorming,uguquko,uhlaziyo,kuntjintja,itjhuguluko,"mpshafatša, fetola","ntšhwafatso, phetogo",tlhabollo, tshanduko,hundzuluxo
reform,hervorm,shintsha,-lungisa,-akha kabusha,-tjhugulula,"mpshafatša, fetola",ntšhwafatsa,hlabolla, khwiṋisa,-hundzuluxa
refute,weerlê,phikisa,-bonisa ukuba asiyonyani,phikisa,-qinisekisa,"ganetša, latola","ganetsa, latola",hanana, hanedza,-kaneta
regime,bewind,umbuso,ulawulo,hulumende,umbuso,"mmušo, pušo",mmuso,mmuso, muvhusowoga,mfumo
region,streek,isifunda,ummandla,sigodzi,isifunda,"tikologo, selete, setereke",kgaolo,lebatowa, dzingu,xifundzatsongo
regulate,reguleer,lawula,-lawula,lawula,-lawula,laola,laola,laola, langa,-lawula
regulate,reguleer,lawula,-misa kakuhle,lawula,-lawula,laola,laola,laola, langa,-lawula
reinforce,versterk,khuthaza,-omeleza,cinisa,-qinisa,"tiiša, gatelela","oketsa maatla, tlaleletsa",matlafatsa, khwaṱhisa,-tshikelela
reject,verwerp,chitha,-lahla,-ala,-ala,"gana, lahla",gana,hana, hana,-landzula
reject,uitskot,umchithwa,into engafunwayo,lokwaliwe,ukhamani,"gana, lahla",selatlhiwa,tlhokaboleng, ḽilaṱwa,xilahlwa
relate,verband hou,hlobana,-nxulumana,hlobana,-khambisana,"anegela, bolela, bega, laodiša","tsalanya, amanya",amana, yelana,-fambelana
relate,vertel,zeka,-balisa,landzisa,-coca,"anegela, bolela, bega, laodiša",anela,pheta,anetshela,-rungula
relax,ontspan,phumula,-phumla,phumula,-ledatha,"iketla, itiša, nyefiša",repa,phomola, ḓigeḓa,-londla
relax,ontspan,beka umzimba phansi,-yonwaba,bamba phansi,-ledatha,"iketla, itiša/, yefiša",repa,phomola, ḓiawedza,-londla
relax,verslap,xegisa,-yekelela,cekisa,-nyefisa,"iketla, itiša, nyefiša",repisa,bebofatsa, rembeḓisa,-olovisa
release,vrystel,khipha,-khulula,khulula,-khupha,"lokolla, bofolla",golola,lokolla, ṱahisa,-humesa
relevant,relevante,okufanele,-nxulumene,fanele,-khambisanako,"lebanego, amanago, mabapi le",-maleba,tshwaneleha, tshimbilelanaho na,leswi fambelanaka
reliable,betroubaar,okuthembekile,-thembekileyo,tsembekile,-thembako,"botegago, tiilego","-ikanyegang, tshepagalang",tshepahala, fulufhedzeaho,lexi tshembekeke
reliable,betroubaar,okungethenjwa,-ethembekayo,tsembekile,-thembekako,"botegago, tiilego","-ikanyegang, tshepagalang",tshepahala, fulufhedzea,lexi tshembekeke
reluctance,onwilligheid,ukungathandi,ukunqena,kwala,ukuzaza,"go se rate, go tšwafa",itsemeletso,qeaqeo, timatima,vutikokamilenge
reluctant,onwillig,okungathandi,-nqena,-ala,-zaza,"go se rate, go tšwafa",itsemeletsa,qeaqea, koloṅwa,ku tikoka milenge
rely,steun op,ncika,-thembela,tsembela,-thembela,"bota, holofela, tshepile",ikaega,itshetleha, tshila,-tshembela
rely,steun op,yethembela,-thembela,tsembela,-thembela,"bota, holofela, tshepile",ikanya, tshepa,tevhelesa,-tshembela
remove,verwyder,susa,-susa,susa,-susa,"tloša, šuthiša, šutha",tlosa,tlosa, ṱusa,-susa
render,maak,bangela,-yenza,enta,-bangela,"nea, gafela, dira, fetola",dira gore,baka, ita,-endla
render,lewer,nikela,-nika,nika,-nikela,"nea, gafela, dira, fetola","naya, ntsha",fana, ṋea,-nyika
render,uitbeeld,veza,-bonisa,khombisa,-tjengisa,"nea, gafela, dira, fetola",tlhagisa,hlahisa, ṱana,-humesa
replicate,dupliseer,veza ngokufanayo,-yenza ikopi,phindza,-buyelela,kopa,boeletsa,pheta, fanedza,-vuyelerisa
reproduce,reproduseer,ukukhiqiza futhi,-fanekisela,khicita futsi,-kopa,"kopiša, bušološa, tšweletša",dira dikhopi,kopitsa,bveledzulula,ku humesa nakambe
repudiate,verwerp,phikisa,-khanyela,-ala,-ala,"latola, lahla, hlala",gana,hana, hanedza,-landzula
require,benodig,dinga,-swela,dzinga,-dinga,"nyaka, hloka",tlhoka,tshwanela,lila,-lava
require,vereis,dingeka,-funa,dzinga,-tlhoga,"nyaka, hloka",tlhokagala,hlokeha,ṱoḓa,xilaveko
research,navors,cwaninga,-phanda,cwaninga,-rhubhulula,"nyakišišo, nyakišiša",tlhotlhomisa,fuputsa, risetsha,ndzavisiso
research,navorsing,ucwaningo,uphando,lucwaningo,irhubhululo,"nyakišišo, nyakišiša",tlhotlhomiso,diphuputso, risetshe,ndzavisiso
reservoir,reservoir,isiqukathi,ichibi,silulu,isimumathi,mothamo,"reseboa, bodutelo",sesiu, tshikofulu,thangi
reside,woon,hlala,-hlala,hlala,-hlala,"dula, aga","nna, dula",phela, dzula,-tshama
resident,inwoner,umhlali,ummi,kuhlala,-hlalako,"modudi, moagi","monni, moagi, modudi",phela, vhadzuli,muakitiko
resident,inwoner,umhlali,umhlali,umhlali,isakhamuzi,"modudi, moagi","moagi, modudi",moahi, mudzulapo,muakitiko
residue,residu,insalela,intsalela,insalela,isikhobosi,"mašalela, makgaritla, mašaledi",masalela,masalla, masalela,masalela
residue,oorskot,imali engakuwe,intsalela,insalela,isalela,"mašalela, makgaritla, mašaledi","tshaledi, tshalelo",masalla, masalela,ntsengo lowutsongo wa mali
resource,hulpbron,umthombo,ubutyebi,umtfombo,umthombo,"thušo, maano, ditshwaro",motswedithuso,mohlodi, tshiko,xitirhisiwa
resource,hulpbron,inqolobane,umthombo,umtfombolusito,isisetjenziswa,"thušo, maano, ditshwaro",motswedithuso,mohlodi, tshishumiswa,xitirhisiwa
respond,reageer,phendula,-phendula,phendvula,-phendula,"araba, fetola",fetola,arabela, fhindula,-angula
respond,reageer,zwela,-sabela,phendvula,-izwa,"araba, fetola",tsibogela,kgema, khwiṋefhala,-angula
response,reaksie,impendulo,ukusabela,imphendvulo,ipendulo,"karabo, phetolo",tsibogo,karabelo, phindulo,n'wangulo
restore,herstel,buyisa,-buyisela,buyisela,-buyisa,"bušetša, tsoša, fodiša","busetsa, tsosolosa",kgutlisetsa, vhuiswa,ku vuyelerisa ematshan'weni ya swona
restrain,vasbind,bamba,-nqanda,kuvimba,-khandela,"thibela, ganela, iletša",kgapha,tshwarella, thivha,-khomeleta
restrict,beperk,kalela,-nyina,beka umkhawulo,-vimbela,"kgaoletša, magomo",lekanyetsa, lekanyetsa, kalelwa,ku pfumeleriwa ku fikela eka
restrict,beperk,thiba,-nyine,beka umkhawulo,-vimba,"kgaoletša, magomo",kgaoletsa, lekanyetsa, fhungudza,ku veka mpimo
result,resultaat,umphumela,isiphumo,umphumela,umphumela,"poelo, sephetho, bofelo",dipholo,sephetho, mvelelo,mbuyelo
retain,behou,godla,-gcina,gcina,-bamba,"swara, boloka, thekga",tshegetsa,tshwarella, fara,-khoma
retain,behou,bamba,-bamba,gcina,-buyisa,"swara, boloka, thekga",tshegetsa,baballa, omelela,-hlayisa
retain,behou,qala ngokukhokha,-qesha,khokhela ngembi kwesikhatsi,-bhadalela phambili,"swara, boloka, thekga",duelela kwa pele,tshwarella, farana,-khomeleta
retard,vertraag,libazisa,-libazisa,bambelela,-ehlisa,"diegiša, diega, nanya, nantšha","dia, busetsa morago",sitisa, lindedza,-khomeleta
reveal,toon,veza,-bonakalisa,khombisa,-veza,"utolla, senolla",senola,senola, dzumbulula,-paluxa
reveal,bekendmaak,veza,-bhengeza,beka ebaleni,-veza,"utolla, senolla",senola,senola,dzumbulula,-paluxa
revenue,inkomste,imali,ingeniso,imali lengenako,irevenyu,"lekgetho, motšhelo",lotseno,tjhelete, malamba,rhevhenyu
reverberate,opslae maak,ukuduma,-hlokomisa,-vakala,-rhatjheka,"poeletšo, galagala",dumaduma,tuma, bvuma,-duma
reverse,omswaai,hlehlisa,-guqula,buyela emuva,-buyisela emva,"fetola, bušetša morago","fetola, phetsola",fetola, rembulusa,ku ntlhetlhisela endzhaku
reverse,omgekeerde,okuphambene,-eguqulayo,sinyova,-sinyova,"fetola, bušetša morago",-fapaaneng,santhao, vhushandwa,hi xindzhakwandzhakwana
revise,hersien,buyekeza,-qwalasela kwakhona,buyeketa,-buyekeza,"boeletša, phošolla",tokafatsa,hlabolla, shandula,-pfuxeta
revise,hersien,funda futhi,-phengulula,buyeketa,-buyekeza,"boeletša, phošolla",boeletsa,lokisa, vusuludza,-pfuxeta
revolt,in opstand kom,ukuhlubuka,-vukela,vukela,-ala,"go gana, kganetšo",tsuolola,itseka, vutshela,dzolonga
revolt,opstand,ukuvukela,uvukelo,kuvukela umbuso,isinghonghoyilo,"go gana, kganetšo",botsuolodi,boitseko, mvutshelo,dzolonga
